index,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
33608,1,0.002116242998454254,276.0,18838.0,100,1000,59
33609,2,0.0027062049994128756,276.0,18839.0,100,1000,59
33610,3,0.003237880999222398,276.0,18840.0,100,1000,59
33611,4,0.003514011001243489,276.0,18841.0,100,1000,59
33612,5,0.0037856570015719626,276.0,18842.0,100,1000,59
33613,6,0.004054124001413584,276.0,18843.0,100,1000,59
33614,7,0.004579894000926288,278.0,18845.0,100,1000,59
33615,8,0.004851149999012705,278.0,18846.0,100,1000,59
33616,9,0.005125657000462525,278.0,18847.0,100,1000,59
33617,10,0.005398491000960348,278.0,18848.0,100,1000,59
33618,11,0.00567196799966041,279.0,18850.0,100,1000,59
33619,12,0.005946966000919929,279.0,18851.0,100,1000,59
33620,13,0.00622069100063527,280.0,18853.0,100,1000,59
33621,14,0.006556545999046648,280.0,18854.0,100,1000,59
33622,15,0.006834354000602616,282.0,18856.0,100,1000,59
33623,16,0.007110919999831822,282.0,18857.0,100,1000,59
33624,17,0.0073895440000342205,282.0,18858.0,100,1000,59
33625,18,0.007670775001315633,282.0,18859.0,100,1000,59
33626,19,0.007949996001116233,283.0,18861.0,100,1000,59
33627,20,0.00822867099850555,283.0,18862.0,100,1000,59
33628,21,0.008507972001098096,284.0,18864.0,100,1000,59
33629,22,0.00879210399943986,284.0,18865.0,100,1000,59
33630,23,0.009072103999642422,284.0,18866.0,100,1000,59
33631,24,0.00935262200073339,284.0,18867.0,100,1000,59
33632,25,0.009633232999476604,284.0,18868.0,100,1000,59
33633,26,0.00991833499938366,284.0,18869.0,100,1000,59
33634,27,0.01020010399952298,285.0,18871.0,100,1000,59
33635,28,0.010549015998549294,287.0,18873.0,100,1000,59
33636,29,0.011088464001659304,287.0,18874.0,100,1000,59
33637,30,0.01137139999991632,287.0,18875.0,100,1000,59
33638,31,0.011657365001155995,287.0,18876.0,100,1000,59
33639,32,0.01194266699894797,287.0,18877.0,100,1000,59
33640,33,0.012229171999933897,287.0,18878.0,100,1000,59
33641,34,0.012515392001660075,287.0,18879.0,100,1000,59
33642,35,0.013054795999778435,287.0,18880.0,100,1000,59
33643,36,0.013341776000743266,287.0,18881.0,100,1000,59
33644,37,0.013630010998895159,287.0,18882.0,100,1000,59
33645,38,0.013914261999161681,287.0,18883.0,100,1000,59
33646,39,0.014486211999610532,287.0,18884.0,100,1000,59
33647,40,0.014793180998822208,287.0,18885.0,100,1000,59
33648,41,0.015078166001330828,287.0,18886.0,100,1000,59
33649,42,0.015362944999651518,287.0,18887.0,100,1000,59
33650,43,0.01564743400012958,287.0,18888.0,100,1000,59
33651,44,0.015933738999592606,287.0,18889.0,100,1000,59
33652,45,0.016219223998632515,287.0,18890.0,100,1000,59
33653,46,0.016507242999068694,288.0,18892.0,100,1000,59
33654,47,0.01704677499947138,288.0,18893.0,100,1000,59
33655,48,0.017339699999865843,288.0,18894.0,100,1000,59
33656,49,0.017633053001191,289.0,18896.0,100,1000,59
33657,50,0.01791881000099238,289.0,18897.0,100,1000,59
33658,51,0.018206875000032596,289.0,18898.0,100,1000,59
33659,52,0.018504607000068063,289.0,18899.0,100,1000,59
33660,53,0.018791907001286745,289.0,18900.0,100,1000,59
33661,54,0.01908852599808597,289.0,18901.0,100,1000,59
33662,55,0.01938781499848119,289.0,18902.0,100,1000,59
33663,56,0.019690838998940308,290.0,18904.0,100,1000,59
33664,57,0.019992837998870527,290.0,18905.0,100,1000,59
33665,58,0.02029032000064035,290.0,18906.0,100,1000,59
33666,59,0.020581742999638664,290.0,18907.0,100,1000,59
33667,60,0.02112747199862497,290.0,18908.0,100,1000,59
33668,61,0.021424629998364253,290.0,18909.0,100,1000,59
33669,62,0.021716128001571633,290.0,18910.0,100,1000,59
33670,63,0.022017145998688648,290.0,18911.0,100,1000,59
33671,64,0.02258162100042682,290.0,18912.0,100,1000,59
33672,65,0.022884291000082158,290.0,18913.0,100,1000,59
33673,66,0.0231903659987438,290.0,18914.0,100,1000,59
33674,67,0.023495044999435777,290.0,18915.0,100,1000,59
33675,68,0.02379079999809619,290.0,18916.0,100,1000,59
