index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2194,79,6.041304238999146,298.0,320088.0,True,4000,0.2,1000
2195,80,6.11771678399964,298.0,324089.0,True,4000,0.2,1000
2196,81,6.1941200159999426,298.0,328090.0,True,4000,0.2,1000
2197,82,6.2705098320002435,298.0,332091.0,True,4000,0.2,1000
2198,83,6.346283432998462,298.0,336092.0,True,4000,0.2,1000
2199,84,6.422918157000822,298.0,340093.0,True,4000,0.2,1000
2200,85,6.499676097999327,298.0,344094.0,True,4000,0.2,1000
2201,86,6.576387597000576,298.0,348095.0,True,4000,0.2,1000
2202,87,6.652733986000385,298.0,352096.0,True,4000,0.2,1000
2203,88,6.729461109000113,298.0,356097.0,True,4000,0.2,1000
2204,89,6.806572794001113,298.0,360098.0,True,4000,0.2,1000
2205,90,6.884008717999677,298.0,364099.0,True,4000,0.2,1000
2206,91,6.961255318998155,298.0,368100.0,True,4000,0.2,1000
2207,92,7.038252768001257,298.0,372101.0,True,4000,0.2,1000
2208,93,7.115559927999129,298.0,376102.0,True,4000,0.2,1000
2209,94,7.192528662999393,298.0,380103.0,True,4000,0.2,1000
2210,95,7.26973994799846,298.0,384104.0,True,4000,0.2,1000
2211,96,7.3471752219993505,298.0,388105.0,True,4000,0.2,1000
2212,97,7.424332845999743,298.0,392106.0,True,4000,0.2,1000
2213,98,7.501542589001474,298.0,396107.0,True,4000,0.2,1000
2214,99,7.578886544000852,298.0,400108.0,True,4000,0.2,1000
2215,100,7.655719096001121,298.0,404109.0,True,4000,0.2,1000
2216,101,7.732940898000379,298.0,408110.0,True,4000,0.2,1000
2217,102,0.01006367800073349,298.0,412111.0,True,4000,0.2,1000
2218,103,0.10068984600002295,298.0,416112.0,True,4000,0.2,1000
2219,104,0.18545478600208298,298.0,420113.0,True,4000,0.2,1000
2220,105,0.2719517330006056,298.0,424114.0,True,4000,0.2,1000
2221,106,0.349467996002204,298.0,428115.0,True,4000,0.2,1000
2222,107,0.4249915370019153,298.0,432116.0,True,4000,0.2,1000
2223,108,0.5032806780000101,298.0,436117.0,True,4000,0.2,1000
2224,109,0.5811311130019021,298.0,440118.0,True,4000,0.2,1000
2225,110,0.6590143540015561,298.0,444119.0,True,4000,0.2,1000
2226,111,0.7355140399995435,298.0,448120.0,True,4000,0.2,1000
2227,112,0.8112304150017735,298.0,452121.0,True,4000,0.2,1000
2228,113,0.887748894001561,298.0,456122.0,True,4000,0.2,1000
2229,114,0.9640729570019175,298.0,460123.0,True,4000,0.2,1000
2230,115,1.0408905660005985,298.0,464124.0,True,4000,0.2,1000
2231,116,1.1167077610007254,298.0,468125.0,True,4000,0.2,1000
2232,117,1.1927987490016676,298.0,472126.0,True,4000,0.2,1000
2233,118,1.2692126990004908,298.0,476127.0,True,4000,0.2,1000
2234,119,1.345586113002355,298.0,480128.0,True,4000,0.2,1000
2235,120,1.4216991909997887,298.0,484129.0,True,4000,0.2,1000
2236,121,1.498089330001676,298.0,488130.0,True,4000,0.2,1000
2237,122,1.5742458480017376,298.0,492131.0,True,4000,0.2,1000
2238,0,0.009673690001363866,275.0,4000.0,True,4000,0.5,1000
2239,1,0.08870305999880657,286.0,8002.0,True,4000,0.5,1000
2240,2,0.16009987899815314,287.0,12004.0,True,4000,0.5,1000
2241,3,0.23191609299828997,287.0,16005.0,True,4000,0.5,1000
2242,4,0.30848240300110774,288.0,20007.0,True,4000,0.5,1000
2243,5,0.38475700300114113,288.0,24008.0,True,4000,0.5,1000
2244,6,0.46121626400054083,288.0,28009.0,True,4000,0.5,1000
2245,7,0.537956039999699,288.0,32010.0,True,4000,0.5,1000
2246,8,0.6142274990015721,289.0,36012.0,True,4000,0.5,1000
2247,9,0.6910086429998046,289.0,40013.0,True,4000,0.5,1000
2248,10,0.7677787430002354,289.0,44014.0,True,4000,0.5,1000
2249,11,0.8442142450003303,291.0,48016.0,True,4000,0.5,1000
2250,12,0.9207203519981704,291.0,52017.0,True,4000,0.5,1000
2251,13,0.9973414050000429,291.0,56018.0,True,4000,0.5,1000
2252,14,1.0740494929996203,291.0,60019.0,True,4000,0.5,1000
2253,15,1.1509870390000287,291.0,64020.0,True,4000,0.5,1000
