index,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
61,1000,297.0,10376,27.283633211998676,"[21, 9, 3, 8, 6, 15, 1, 23, 19, 5, 14, 20, 24, 2, 5, 13, 22, 16, 4, 7, 23, 18, 12, 0, 17]",50,1000,30
63,1000,297.0,10794,29.40403708500162,"[1, 13, 7, 12, 8, 22, 17, 15, 0, 11, 16, 5, 10, 21, 24, 4, 19, 13, 3, 14, 20, 18, 2, 6, 23]",50,1000,31
65,1000,294.0,11081,30.875250430999586,"[0, 3, 23, 16, 9, 0, 16, 8, 15, 21, 7, 20, 18, 1, 19, 6, 5, 7, 2, 13, 24, 17, 14, 4, 22]",50,1000,32
67,1000,295.0,11361,34.48552396000014,"[0, 24, 14, 17, 9, 13, 6, 20, 1, 5, 21, 15, 3, 19, 17, 4, 11, 7, 10, 2, 22, 18, 16, 7, 23]",50,1000,33
69,1000,296.0,11696,36.31033029899845,"[12, 20, 1, 5, 0, 8, 17, 0, 3, 16, 19, 21, 6, 22, 13, 23, 14, 7, 4, 24, 11, 18, 15, 10, 2]",50,1000,34
71,1000,293.0,11895,37.409425416000886,"[22, 0, 7, 21, 16, 14, 10, 1, 23, 20, 5, 3, 18, 4, 11, 6, 12, 19, 3, 15, 17, 2, 24, 13, 8]",50,1000,35
73,1000,295.0,12263,39.48622414499914,"[22, 7, 19, 17, 15, 6, 2, 6, 18, 24, 8, 20, 4, 10, 0, 17, 5, 12, 9, 23, 3, 14, 16, 11, 1]",50,1000,36
75,1000,297.0,12626,41.635212372999376,"[11, 14, 19, 21, 24, 8, 12, 22, 1, 23, 0, 20, 7, 10, 13, 1, 17, 24, 18, 3, 5, 9, 16, 6, 15]",50,1000,37
77,1000,294.0,12918,43.349226578000525,"[23, 1, 14, 2, 9, 10, 22, 13, 19, 5, 18, 15, 7, 20, 24, 4, 2, 19, 3, 12, 4, 8, 0, 17, 6]",50,1000,38
79,1000,296.0,13282,45.567393106000964,"[15, 8, 15, 0, 7, 21, 10, 18, 14, 9, 4, 23, 7, 0, 22, 5, 17, 13, 11, 2, 19, 6, 24, 9, 16]",50,1000,39
81,1000,294.0,13461,46.67042917100116,"[2, 4, 13, 4, 24, 11, 23, 3, 6, 18, 10, 1, 17, 12, 5, 19, 20, 9, 15, 8, 22, 14, 0, 7, 21]",50,1000,40
83,1000,296.0,13860,49.24298363100024,"[24, 17, 1, 23, 12, 3, 15, 24, 4, 6, 4, 18, 16, 0, 5, 10, 21, 19, 2, 20, 13, 11, 8, 22, 3]",50,1000,41
85,1000,293.0,14102,50.82606718899842,"[19, 10, 0, 23, 21, 11, 3, 13, 16, 22, 20, 4, 6, 8, 13, 23, 1, 18, 5, 15, 2, 9, 7, 14, 17]",50,1000,42
87,1000,295.0,14391,52.71082106799804,"[21, 19, 5, 8, 22, 0, 12, 18, 4, 16, 23, 2, 11, 14, 3, 1, 24, 17, 20, 9, 1, 15, 10, 7, 13]",50,1000,43
89,1000,294.0,14769,55.303459157999896,"[15, 18, 3, 9, 3, 19, 10, 16, 0, 1, 8, 2, 15, 21, 21, 10, 12, 5, 11, 13, 22, 24, 4, 7, 14]",50,1000,44
91,1000,293.0,14996,56.86269487699974,"[19, 9, 15, 4, 8, 18, 21, 24, 0, 21, 3, 17, 12, 16, 1, 6, 10, 23, 7, 24, 2, 20, 14, 5, 22]",50,1000,45
93,1000,295.0,15277,58.83248026000001,"[17, 5, 8, 11, 19, 0, 14, 18, 7, 23, 3, 5, 24, 20, 1, 16, 6, 22, 10, 2, 9, 12, 4, 21, 10]",50,1000,46
95,1000,295.0,15584,61.02278736199878,"[20, 22, 15, 2, 10, 3, 24, 4, 23, 1, 9, 12, 14, 21, 19, 6, 11, 20, 0, 5, 16, 8, 16, 7, 17]",50,1000,47
97,1000,295.0,15973,66.43588307699974,"[2, 18, 12, 10, 22, 0, 3, 21, 12, 24, 16, 11, 15, 4, 9, 23, 5, 14, 17, 6, 13, 19, 7, 1, 20]",50,1000,48
99,1000,295.0,16291,68.81065465700158,"[2, 5, 15, 11, 7, 4, 13, 8, 20, 18, 21, 1, 6, 8, 10, 19, 9, 3, 24, 10, 12, 9, 23, 0, 22]",50,1000,49
101,1000,294.0,16568,70.93760363899855,"[18, 13, 4, 1, 9, 19, 23, 8, 21, 2, 16, 22, 0, 7, 3, 6, 11, 24, 12, 6, 20, 14, 1, 22, 10]",50,1000,50
103,1000,294.0,239,0.09363023699916084,"[11, 1, 23, 6, 22, 7, 12, 19, 21, 14, 24, 3, 5, 9, 18, 16, 17, 4, 2, 9, 20, 15, 21, 12, 0]",100,1000,0
105,1000,295.0,563,0.27183357600006275,"[10, 8, 5, 20, 12, 23, 7, 21, 0, 18, 22, 6, 17, 2, 16, 14, 4, 4, 9, 3, 24, 19, 15, 1, 10]",100,1000,1
107,1000,295.0,899,0.5059581140012597,"[21, 8, 12, 5, 1, 13, 10, 3, 24, 4, 15, 9, 23, 11, 23, 16, 22, 17, 8, 2, 20, 6, 14, 0, 18]",100,1000,2
109,1000,294.0,1220,0.7804005210018659,"[8, 15, 5, 22, 0, 6, 7, 17, 12, 16, 18, 3, 23, 19, 9, 15, 13, 2, 24, 21, 1, 10, 4, 21, 14]",100,1000,3
111,1000,297.0,1591,1.1527998210003716,"[1, 17, 21, 10, 13, 11, 4, 2, 23, 19, 5, 14, 12, 3, 7, 20, 24, 9, 15, 0, 22, 8, 16, 14, 6]",100,1000,4
113,1000,295.0,1878,1.4870888340010424,"[1, 16, 23, 8, 14, 23, 17, 7, 5, 22, 0, 4, 20, 11, 2, 19, 10, 13, 3, 21, 7, 24, 20, 6, 13]",100,1000,5
115,1000,295.0,2165,1.8553496230015298,"[22, 16, 14, 4, 17, 0, 9, 12, 5, 1, 6, 1, 21, 13, 18, 14, 23, 11, 20, 24, 8, 10, 2, 7, 3]",100,1000,6
117,1000,295.0,2463,2.278047231000528,"[8, 15, 22, 1, 11, 0, 12, 18, 23, 14, 4, 10, 5, 16, 9, 17, 3, 21, 18, 16, 2, 7, 6, 24, 20]",100,1000,7
119,1000,294.0,2786,2.7786334789998364,"[5, 15, 1, 6, 19, 17, 0, 20, 4, 10, 0, 22, 18, 16, 12, 2, 9, 3, 20, 23, 1, 13, 2, 23, 21]",100,1000,8
