index,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
2546,0,0.0015419840019603726,2354.796050392705,2000.0,True,2000,0.25,1000
2547,1,0.05987234300118871,2929.8981713839116,4002.0,True,2000,0.25,1000
2548,2,0.11461873700318392,2929.8981713839116,6003.0,True,2000,0.25,1000
2549,3,0.16775355300342198,2929.8981713839116,8004.0,True,2000,0.25,1000
2550,4,0.22095749600339332,3044.4071898407155,10006.0,True,2000,0.25,1000
2551,5,0.2733755920016847,3084.1186295706457,12008.0,True,2000,0.25,1000
2552,6,0.325697714000853,3131.5345684077774,14010.0,True,2000,0.25,1000
2553,7,0.37833283100189874,3148.4257720055075,16012.0,True,2000,0.25,1000
2554,8,0.42786030300339917,3217.2713668923934,18014.0,True,2000,0.25,1000
2555,9,0.4843748230014171,3344.3358217858304,20016.0,True,2000,0.25,1000
2556,10,0.5491850670005078,3362.0410366767005,22018.0,True,2000,0.25,1000
2557,11,0.6126170260031358,3366.984263774664,24020.0,True,2000,0.25,1000
2558,12,0.676723018001212,3366.984263774664,26021.0,True,2000,0.25,1000
2559,13,0.7403685919998679,3413.154743417459,28023.0,True,2000,0.25,1000
2560,14,0.8027525850011443,3435.7143495350106,30025.0,True,2000,0.25,1000
2561,15,0.865234524000698,3446.4344376483223,32027.0,True,2000,0.25,1000
2562,16,0.926961018001748,3478.7179457168018,34029.0,True,2000,0.25,1000
2563,17,0.9886267580004642,3520.0011792180335,36031.0,True,2000,0.25,1000
2564,18,1.049963914003456,3520.0011792180335,38032.0,True,2000,0.25,1000
2565,19,1.1114584820024902,3536.291511640799,40034.0,True,2000,0.25,1000
2566,20,1.1727419140006532,3554.806273570075,42036.0,True,2000,0.25,1000
2567,21,1.2339757240006293,3554.806273570075,44037.0,True,2000,0.25,1000
2568,22,1.2954241190018365,3559.354443706873,46039.0,True,2000,0.25,1000
2569,23,1.356653623002785,3569.896572521578,48041.0,True,2000,0.25,1000
2570,24,1.4181604520017572,3578.9062043242757,50043.0,True,2000,0.25,1000
2571,25,1.4797713010011648,3593.1616171156875,52045.0,True,2000,0.25,1000
2572,26,1.5411926650012902,3595.841723555642,54047.0,True,2000,0.25,1000
2573,27,1.6025206040030753,3595.841723555642,56048.0,True,2000,0.25,1000
2574,28,1.6642224040006113,3599.970411445791,58050.0,True,2000,0.25,1000
2575,29,1.7256303900030616,3603.899910501338,60052.0,True,2000,0.25,1000
2576,30,1.78722845500306,3603.899910501338,62053.0,True,2000,0.25,1000
2577,31,1.8485552440033644,3607.4579632343875,64055.0,True,2000,0.25,1000
2578,32,1.9102044780011056,3608.544566274073,66057.0,True,2000,0.25,1000
2579,33,1.9717174000033992,3613.8414654643757,68059.0,True,2000,0.25,1000
2580,34,2.033285204001004,3614.821127683967,70061.0,True,2000,0.25,1000
2581,35,2.0946943550006836,3614.821127683967,72062.0,True,2000,0.25,1000
2582,36,2.155889958001353,3614.821127683967,74063.0,True,2000,0.25,1000
2583,37,2.217406416002632,3621.857803758998,76065.0,True,2000,0.25,1000
2584,38,2.2791592930007027,3622.2757510142137,78067.0,True,2000,0.25,1000
2585,39,2.340464188000624,3622.2757510142137,80068.0,True,2000,0.25,1000
2586,40,2.40178596700207,3624.671078594585,82070.0,True,2000,0.25,1000
2587,41,2.463075199000741,3624.671078594585,84071.0,True,2000,0.25,1000
2588,42,2.5245882460003486,3626.6106072279576,86073.0,True,2000,0.25,1000
2589,43,2.585790306002309,3626.6106072279576,88074.0,True,2000,0.25,1000
2590,44,2.64710949000073,3627.131264196125,90076.0,True,2000,0.25,1000
2591,45,2.7086975240017637,3627.1783132424607,92078.0,True,2000,0.25,1000
2592,46,2.770313970002462,3627.1783132424607,94079.0,True,2000,0.25,1000
2593,47,2.8315463950020785,3627.1783132424607,96080.0,True,2000,0.25,1000
2594,48,2.8929862220029463,3629.2300885906593,98082.0,True,2000,0.25,1000
2595,49,2.954528348000167,3629.2300885906593,100083.0,True,2000,0.25,1000
2596,50,3.016198418001295,3629.2300885906593,102084.0,True,2000,0.25,1000
2597,51,3.07796012900144,3629.2300885906593,104085.0,True,2000,0.25,1000
2598,52,3.139395563001017,3629.2300885906593,106086.0,True,2000,0.25,1000
2599,53,3.2009450100013055,3629.2300885906593,108087.0,True,2000,0.25,1000
2600,54,3.262824430999899,3629.2300885906593,110088.0,True,2000,0.25,1000
2601,55,3.3243576750028296,3629.2300885906593,112089.0,True,2000,0.25,1000
2602,56,3.3858794840016344,3629.2300885906593,114090.0,True,2000,0.25,1000
2603,57,3.447184669003036,3629.2300885906593,116091.0,True,2000,0.25,1000
2604,58,3.508600157001638,3629.2300885906593,118092.0,True,2000,0.25,1000
