index,Iteration,Time,Fitness,FEvals,Temperature,max_iters
8373,0,0.00010892499994952232,2354.796050392705,0.0,5000,1000
8374,1,0.0021865489979973063,2369.010896122116,2.0,5000,1000
8375,2,0.0022508189977088477,2381.7685404687986,4.0,5000,1000
8376,3,0.002307195998582756,0.0,6.0,5000,1000
8377,4,0.002356887998757884,2385.8407532827778,8.0,5000,1000
8378,5,0.002406986997812055,2385.8407532827778,9.0,5000,1000
8379,6,0.0024564300001657102,0.0,11.0,5000,1000
8380,7,0.0025055730002350174,0.0,13.0,5000,1000
8381,8,0.0025543749979988206,0.0,15.0,5000,1000
8382,9,0.00260571399849141,2389.104915673665,17.0,5000,1000
8383,10,0.0026563649989839178,2358.3778611832795,19.0,5000,1000
8384,11,0.0027074729987361934,2319.546273962598,21.0,5000,1000
8385,12,0.002759577997494489,2344.2733011639866,23.0,5000,1000
8386,13,0.002811471997119952,2315.433379388806,25.0,5000,1000
8387,14,0.0028715469998132903,2346.3533112681666,27.0,5000,1000
8388,15,0.0029326149997359607,2332.138465538756,29.0,5000,1000
8389,16,0.0029946619979455136,2363.0952098875655,31.0,5000,1000
8390,17,0.0030575700002373196,0.0,33.0,5000,1000
8391,18,0.003119645996775944,2368.978120345247,35.0,5000,1000
8392,19,0.0031845829980738927,2333.3052588109194,37.0,5000,1000
8393,20,0.003249583998695016,2345.9227295806813,39.0,5000,1000
8394,21,0.0033147319991257973,2345.9227295806813,40.0,5000,1000
8395,22,0.0033799599987105466,2324.1398158128623,42.0,5000,1000
8396,23,0.0034457649999239948,2357.8841445650964,44.0,5000,1000
8397,24,0.0035135809994244482,0.0,46.0,5000,1000
8398,25,0.003582147997803986,0.0,48.0,5000,1000
8399,26,0.0036455489971558563,0.0,50.0,5000,1000
8400,27,0.003709433996846201,0.0,52.0,5000,1000
8401,28,0.003774892997171264,0.0,54.0,5000,1000
8402,29,0.003844666000077268,2396.4811067144237,56.0,5000,1000
8403,30,0.0039096649998100474,2396.4811067144237,57.0,5000,1000
8404,31,0.003975546998844948,2378.962620414843,59.0,5000,1000
8405,32,0.004042491997097386,2344.2662234536383,61.0,5000,1000
8406,33,0.0041131639991363045,2354.4790504364223,63.0,5000,1000
8407,34,0.004182454998954199,2321.5758322600686,65.0,5000,1000
8408,35,0.004251482998370193,2340.347546127364,67.0,5000,1000
8409,36,0.004322263997892151,2362.975416936805,69.0,5000,1000
8410,37,0.004395611998916138,2378.2054761471377,71.0,5000,1000
